"","X","Year","Month","Day","pluie.demain.prediction"
"1",221,2011,1,7,1
"2",229,2011,1,15,1
"3",235,2011,1,21,0
"4",249,2011,2,4,0
"5",269,2011,2,24,0
"6",273,2011,2,28,0
"7",275,2011,3,2,0
"8",301,2011,3,28,1
"9",303,2011,3,30,0
"10",311,2011,4,7,0
"11",315,2011,4,11,0
"12",319,2011,4,15,0
"13",355,2011,5,21,0
"14",369,2011,6,4,1
"15",371,2011,6,6,1
"16",373,2011,6,8,1
"17",383,2011,6,18,1
"18",399,2011,7,4,1
"19",421,2011,7,26,1
"20",429,2011,8,3,1
"21",431,2011,8,5,1
"22",459,2011,9,2,1
"23",461,2011,9,4,1
"24",463,2011,9,6,0
"25",475,2011,9,18,1
"26",483,2011,9,26,0
"27",521,2011,11,3,1
"28",527,2011,11,9,0
"29",543,2011,11,25,0
"30",559,2011,12,11,1
"31",571,2011,12,23,0
"32",575,2011,12,27,0
"33",577,2011,12,29,1
"34",583,2012,1,4,1
"35",631,2012,2,21,0
"36",645,2012,3,6,0
"37",671,2012,4,1,0
"38",673,2012,4,3,1
"39",679,2012,4,9,1
"40",703,2012,5,3,0
"41",707,2012,5,7,0
"42",717,2012,5,17,1
"43",745,2012,6,14,1
"44",749,2012,6,18,1
"45",753,2012,6,22,0
"46",763,2012,7,2,1
"47",775,2012,7,14,1
"48",803,2012,8,11,0
"49",823,2012,8,31,0
"50",825,2012,9,2,0
"51",827,2012,9,4,0
"52",839,2012,9,16,0
"53",843,2012,9,20,0
"54",853,2012,9,30,0
"55",871,2012,10,18,0
"56",883,2012,10,30,1
"57",887,2012,11,3,1
"58",889,2012,11,5,1
"59",893,2012,11,9,1
"60",905,2012,11,21,1
"61",917,2012,12,3,1
"62",943,2012,12,29,1
"63",963,2013,1,18,1
"64",969,2013,1,24,1
"65",987,2013,2,11,1
"66",997,2013,2,21,0
"67",1015,2013,3,11,1
"68",1021,2013,3,17,1
"69",1029,2013,3,25,1
"70",1035,2013,3,31,0
"71",1039,2013,4,4,1
"72",1049,2013,4,14,0
"73",1051,2013,4,16,0
"74",1081,2013,5,16,1
"75",1095,2013,5,30,1
"76",1105,2013,6,9,1
"77",1125,2013,6,29,1
"78",1147,2013,7,21,0
"79",1155,2013,7,29,1
"80",1217,2013,9,29,1
"81",1231,2013,10,13,0
"82",1243,2013,10,25,0
"83",1259,2013,11,10,1
"84",1261,2013,11,12,0
"85",1275,2013,11,26,0
"86",1285,2013,12,6,0
"87",1287,2013,12,8,0
"88",1305,2013,12,26,1
"89",1323,2014,1,13,1
"90",1349,2014,2,8,1
"91",1353,2014,2,12,1
"92",1383,2014,3,14,0
"93",1393,2014,3,24,0
"94",1417,2014,4,17,0
"95",1423,2014,4,23,0
"96",1425,2014,4,25,1
"97",1427,2014,4,27,1
"98",1487,2014,6,26,1
"99",1503,2014,7,12,1
"100",1515,2014,7,24,1
"101",1521,2014,7,30,1
"102",1523,2014,8,1,1
"103",1533,2014,8,11,1
"104",1543,2014,8,21,1
"105",1545,2014,8,23,1
"106",1563,2014,9,10,0
"107",1571,2014,9,18,1
"108",1579,2014,9,26,0
"109",1583,2014,9,30,0
"110",1595,2014,10,12,1
"111",1597,2014,10,14,1
"112",1601,2014,10,18,0
"113",1609,2014,10,26,0
"114",1619,2014,11,5,1
"115",1621,2014,11,7,1
"116",1625,2014,11,11,1
"117",1639,2014,11,25,0
"118",1645,2014,12,1,1
"119",1657,2014,12,13,1
"120",1661,2014,12,17,1
"121",1675,2014,12,31,0
"122",1681,2015,1,6,1
"123",1697,2015,1,22,1
"124",1723,2015,2,17,0
"125",1729,2015,2,23,1
"126",1743,2015,3,9,0
"127",1763,2015,3,29,1
"128",1765,2015,3,31,1
"129",1773,2015,4,8,0
"130",1779,2015,4,14,0
"131",1815,2015,5,20,1
"132",1827,2015,6,1,1
"133",1831,2015,6,5,0
"134",1847,2015,6,21,1
"135",1859,2015,7,3,1
"136",1861,2015,7,5,0
"137",1867,2015,7,11,0
"138",1871,2015,7,15,0
"139",1907,2015,8,20,0
"140",1923,2015,9,5,0
"141",1927,2015,9,9,0
"142",1939,2015,9,21,0
"143",1951,2015,10,3,0
"144",1969,2015,10,21,0
"145",1991,2015,11,12,0
"146",1997,2015,11,18,0
"147",2001,2015,11,22,1
"148",2013,2015,12,4,0
"149",2025,2015,12,16,1
"150",2041,2016,1,1,1
"151",2079,2016,2,8,1
"152",2091,2016,2,20,1
"153",2105,2016,3,5,1
"154",2121,2016,3,21,0
"155",2127,2016,3,27,1
"156",2141,2016,4,10,0
"157",2143,2016,4,12,1
"158",2159,2016,4,28,0
"159",2181,2016,5,20,0
"160",2201,2016,6,9,1
"161",2229,2016,7,7,1
"162",2235,2016,7,13,1
"163",2239,2016,7,17,0
"164",2251,2016,7,29,0
"165",2259,2016,8,6,0
"166",2265,2016,8,12,0
"167",2289,2016,9,5,0
"168",2293,2016,9,9,0
"169",2309,2016,9,25,0
"170",2315,2016,10,1,1
"171",2347,2016,11,2,0
"172",2357,2016,11,12,0
"173",2359,2016,11,14,0
"174",2385,2016,12,10,0
"175",2387,2016,12,12,0
"176",2403,2016,12,28,0
"177",2405,2016,12,30,0
"178",2415,2017,1,9,0
"179",2429,2017,1,23,0
"180",2433,2017,1,27,0
"181",2449,2017,2,12,0
"182",2465,2017,2,28,1
"183",2471,2017,3,6,1
"184",2477,2017,3,12,1
"185",2483,2017,3,18,1
"186",2497,2017,4,1,1
"187",2513,2017,4,17,0
"188",2517,2017,4,21,0
"189",2537,2017,5,11,1
"190",2541,2017,5,15,0
"191",2571,2017,6,14,1
"192",2581,2017,6,24,1
"193",2589,2017,7,2,1
"194",2595,2017,7,8,1
"195",2607,2017,7,20,1
"196",2615,2017,7,28,1
"197",2627,2017,8,9,1
"198",2643,2017,8,25,0
"199",2659,2017,9,10,1
"200",2661,2017,9,12,1
"201",2665,2017,9,16,1
"202",2667,2017,9,18,0
"203",2673,2017,9,24,0
"204",2675,2017,9,26,0
"205",2689,2017,10,10,0
"206",2705,2017,10,26,0
"207",2717,2017,11,7,0
"208",2719,2017,11,9,0
"209",2729,2017,11,19,0
"210",2737,2017,11,27,0
"211",2757,2017,12,17,1
"212",2765,2017,12,25,0
"213",2773,2018,1,2,1
"214",2781,2018,1,10,1
"215",2791,2018,1,20,1
"216",2797,2018,1,26,1
"217",2817,2018,2,15,1
"218",2825,2018,2,23,0
"219",2839,2018,3,9,1
"220",2847,2018,3,17,1
"221",2861,2018,3,31,1
"222",2863,2018,4,2,1
"223",2879,2018,4,18,0
"224",2889,2018,4,28,1
"225",2911,2018,5,20,0
"226",2913,2018,5,22,1
"227",2939,2018,6,17,1
